System,SNR,Eclipse Depth,Kmag,Teq,Period,Planet Mass
HATS-22,12.1,2035,10.94,1020.1,4.72,2.74
HAT-P-09,11.7,2214,11.02,1832.4,3.92,0.78
HATS-13,11.6,3278,11.98,1481.2,3.04,0.54
WASP-102,11.5,2226,11.11,1962.8,2.71,0.62
WASP-073,11.5,857,9.03,2119.5,4.09,1.88
HAT-P-39,11.5,2306,11.16,2054.7,3.54,0.60
WASP-153,11.3,2116,11.05,2036.4,3.33,0.39
WASP-056,11.0,1609,10.53,1449.8,4.17,0.57
WASP-059,10.9,1030,9.72,790.9,7.92,0.86
OGLE-TR-113,10.9,4715,13.00,1597.7,1.43,1.23
GJ_3470,10.9,420,7.99,769.5,3.34,0.04
WASP-066,10.8,1580,10.45,2143.1,4.09,2.32
HAT-P-51,10.8,2556,11.61,1416.3,4.22,0.31
Kepler-045,10.7,4042,12.89,935.9,2.46,0.50
HAT-P-53,10.7,3277,12.10,2113.4,1.96,1.48
HAT-P-50,10.7,1586,10.50,2205.3,3.12,1.35
WASP-083,10.6,1445,10.39,1326.0,4.97,0.30
WASP-112,10.5,2885,11.90,1648.0,3.04,0.88
GJ_1132,10.5,446,8.32,764.9,1.63,0.01
HD_219134b,10.4,50,3.26,1207.5,3.09,0.01
HAT-P-35,10.4,1958,11.03,1902.1,3.65,1.05
WASP-133,10.4,2045,11.18,2112.2,2.18,1.16
HAT-P-43,10.3,2652,11.76,1615.6,3.33,0.66
HATS-25,10.3,2275,11.42,1517.8,4.30,0.61
HAT-P-31,10.3,1246,10.08,1729.8,5.00,2.17
WASP-105,10.3,1108,9.94,1007.3,7.87,1.80
WASP-060,10.2,1568,10.59,1760.3,4.30,0.56
HATS-04,10.1,2395,11.61,1566.5,2.52,1.32
HAT-P-55,10.1,2464,11.63,1561.0,3.58,0.58
HATS-28,10.0,2987,12.09,1489.8,3.18,0.67
HAT-P-52,10.0,2349,11.62,1447.0,2.75,0.82
HAT-P-15,10.0,966,9.64,1068.9,10.86,1.95
HATS-26,9.8,2216,11.44,2285.6,3.30,0.65
WASP-129,9.7,1362,10.41,1281.1,5.75,1.00
HAT-P-29,9.7,1305,10.30,1495.6,5.72,0.78
WASP-138,9.6,1421,10.49,1896.0,3.63,1.22
CoRoT-18,9.6,4339,13.01,1773.5,1.90,3.27
WASP-157,9.5,1564,10.76,1550.9,3.95,0.57
HAT-P-42,9.5,1459,10.63,1699.2,4.64,1.04
HATS-53,9.4,2751,12.05,1558.0,3.85,0.59
HATS-05,9.3,1450,10.70,1219.5,4.76,0.24
HATS-44,9.3,2810,12.17,1403.8,2.74,0.56
Kepler-012,9.3,2788,12.07,1767.4,4.44,0.43
Qatar-3,9.2,1871,11.22,1998.5,2.51,4.31
HATS-31,9.0,2163,11.57,2170.4,3.38,0.88
WASP-151,9.0,1798,11.19,1560.4,4.53,0.36
HATS-15,8.9,3504,12.72,1776.1,1.75,2.17
WASP-061,8.9,1660,11.01,1851.6,3.86,2.06
HATS-19,8.9,2058,11.51,1843.3,4.57,0.43
WASP-141,8.8,1778,11.19,1875.5,3.31,2.69
HATS-09,8.8,1952,11.48,2161.2,1.92,0.82
K2-107,8.7,1771,11.21,2106.1,3.31,0.84
HAT-P-66,8.5,2146,11.68,2260.4,2.97,0.78
HATS-16,8.2,2705,12.28,1892.5,2.69,3.27
HATS-14,8.1,2348,12.04,1516.4,2.77,1.07
HAT-P-38,8.1,1150,10.50,1284.3,4.64,0.27
WASP-130,8.1,720,9.46,989.3,11.55,1.23
Kepler-423,7.9,3229,12.78,1641.6,2.68,0.59
EPIC_219388192,7.8,1266,10.73,1384.7,5.29,36.84
HATS-11,7.8,2543,12.24,1944.5,3.62,0.83
WASP-139,7.8,1081,10.47,1092.0,5.92,0.12
Kepler-006,7.7,1871,11.63,1726.5,3.23,0.63
WASP-030,7.5,962,10.20,1778.7,4.16,62.50
Kepler-412,7.5,3169,12.84,2175.0,1.72,0.94
HAT-P-26,7.4,670,9.58,1165.7,4.24,0.06
WASP-156,7.3,589,9.34,1153.5,3.84,0.13
HATS-27,7.0,1697,11.55,1970.5,4.64,0.53
HATS-32,6.9,2745,12.70,1707.0,2.81,0.92
Kepler-007,6.8,1603,11.54,1927.1,4.88,0.45
Kepler-041,6.7,2897,12.89,2127.1,1.86,0.56
OGLE-TR-L9,6.6,3328,13.12,2420.1,2.49,4.40
HATS-10,6.6,1523,11.51,1672.9,3.31,0.53
WASP-106,6.6,822,10.16,1341.3,9.29,1.93
Kepler-448,6.4,850,10.23,1285.2,17.86,1.10
Kepler-008,6.1,2040,12.29,1978.5,3.52,0.59
HATS-45,6.0,1918,12.14,1807.1,4.19,0.70
CoRoT-05,5.9,2248,12.55,1603.9,4.04,0.47
CoRoT-12,5.8,3450,13.56,1677.1,2.83,0.89
Kepler-015,5.8,1843,12.22,1487.7,4.94,0.70
EPIC_246067459,5.8,1684,12.03,1898.5,3.21,0.86
HATS-50,5.6,1882,12.29,1616.4,3.82,0.39
HD_219134c,5.6,27,3.26,930.3,6.76,0.01
HATS-12,5.6,1252,11.39,2495.2,3.14,2.39
Kepler-005,5.6,1481,11.77,2013.7,3.55,2.03
Kepler-428,5.4,2677,13.23,1269.7,3.53,1.27
HATS-46,5.3,1500,11.97,1256.5,4.74,0.17
Kepler-426,5.0,2538,13.21,1547.9,3.22,0.34
CoRoT-19,5.0,1353,11.84,1937.9,3.90,1.09
HATS-36,5.0,2103,12.81,1621.3,4.17,2.79
Kepler-077,4.9,1658,12.36,1484.9,3.58,0.43
WASP-086,4.9,426,9.36,1647.5,5.03,0.82
CoRoT-06,4.7,1458,12.12,1220.0,8.89,2.96
Kepler-425,4.7,1909,12.81,1276.6,3.80,0.25
CoRoT-33,4.6,1810,12.71,1207.5,5.82,59.00
HATS-20,4.5,1186,11.86,1362.6,3.80,0.27
Kepler-043,4.3,1639,12.55,1906.4,3.02,3.09
Kepler-424,4.3,1536,12.47,1447.5,3.31,1.03
HATS-07,4.3,747,10.98,1288.7,3.19,0.12
K2-113,4.3,1202,11.95,1377.2,5.82,1.29
K2-060,4.0,723,10.99,1573.8,3.00,0.43
CoRoT-29,3.9,1792,13.05,1449.3,2.85,0.85
POTS-1,3.9,2914,14.24,1001.5,3.16,2.31
Kepler-1654,3.9,3,-1.00,244.9,1047.84,0.00
Kepler-422,3.9,1157,12.04,1332.0,7.89,0.43
CoRoT-03,3.8,964,11.62,1963.0,4.26,21.96
K2-028,3.8,498,10.75,730.2,2.26,-1.00
HD_080606,3.7,124,7.32,482.8,111.44,4.11
K2-141b,3.7,192,8.40,2572.5,0.28,0.02
GJ_9827b,3.7,105,7.19,1332.8,1.21,0.01
CoRoT-16,3.6,1546,12.85,1422.0,5.35,0.54
HD_097658,3.6,56,5.73,902.5,9.49,0.02
CoRoT-04,3.6,1198,12.29,1259.6,9.20,0.73
CoRoT-27,3.5,1619,12.98,1611.9,3.58,10.39
CoRoT-28,3.5,633,11.03,1622.5,5.21,0.48
CoRoT-23,3.5,1215,12.36,2035.5,3.63,3.06
CoRoT-13,3.5,1944,13.38,1704.2,4.04,1.31
EPIC_211442297,3.5,880,11.72,807.3,20.27,0.84
CoRoT-10,3.5,879,11.78,770.7,13.24,2.78
Kepler-044,3.5,1503,12.88,1830.2,3.25,1.00
Kepler-014,3.4,638,10.99,1909.7,6.79,7.68
K2-096b,3.3,97,7.07,2077.1,0.96,0.02
CoRoT-14,3.3,2243,13.81,2303.6,1.51,7.67
CoRoT-08,3.3,721,11.46,1097.4,6.21,0.22
CoRoT-25,3.3,1436,12.85,1571.9,4.86,0.37
Kepler-063,3.2,360,10.00,1073.3,9.43,0.00
HATS-08,3.1,1208,12.66,1571.3,3.58,0.14
K2-019b,3.0,581,11.16,1046.3,7.92,0.09
Kepler-435,2.9,977,12.29,2032.6,8.60,0.84
EPIC_211418729,2.9,915,12.30,857.7,11.39,1.85
OGLE-TR-111,2.8,2100,14.14,1213.0,4.01,0.55
K2-099,2.8,288,9.72,1517.0,18.25,0.97
OGLE-TR-211,2.8,1564,13.38,2005.4,3.68,0.75
CoRoT-20,2.7,994,12.51,1307.2,9.24,5.06
CoRoT-17,2.7,961,12.47,1910.6,3.77,2.46
Kepler-075,2.7,1256,13.12,983.8,8.88,10.10
Kepler-427,2.6,1080,12.78,1281.3,10.29,0.29
WTS-1,2.5,3391,15.27,1773.2,3.35,4.01
K2-032b,2.5,259,9.82,981.1,8.99,0.05
CoRoT-15,2.5,1384,13.39,1984.7,3.06,64.90
TRAPPIST-1b,2.4,217,10.30,467.2,1.51,0.00
HATS-17,2.4,388,10.70,968.4,16.25,1.34
Kepler-433,2.4,1047,12.83,2097.9,5.33,2.82
CoRoT-26,2.4,1231,13.26,1870.4,4.21,0.52
OGLE-TR-132,2.2,2601,14.99,2368.5,1.69,1.17
Kepler-089d,2.1,378,10.93,1065.3,22.34,0.33
Kepler-074,2.1,947,12.96,1303.2,7.34,0.63
GJ_9827d,2.1,58,7.19,772.5,6.20,0.01
OGLE-TR-182,2.0,2098,14.74,1842.2,3.98,1.06
CoRoT-21,2.0,1358,13.81,2431.8,2.73,2.26
Kepler-091,2.0,226,10.14,2411.7,6.25,0.73
K2-024c,1.8,139,9.18,729.1,42.36,0.08
K2-039,1.7,97,8.52,2012.9,4.61,0.12
KOI-205,1.7,653,12.66,909.0,11.72,40.80
CoRoT-32,1.7,534,12.19,1142.2,6.72,0.15
HD_106315c,1.7,73,7.85,1039.1,21.06,0.05
K2-024b,1.6,124,9.18,923.3,20.89,0.06
Kepler-434,1.6,741,13.04,1189.8,12.88,2.86
Kepler-040,1.5,820,13.27,2076.4,6.87,2.16
Kepler-025c,1.5,141,9.49,1241.0,12.72,0.08
Kepler-009b,1.5,505,12.34,971.8,19.24,0.14
K2-027b,1.4,224,10.70,1093.8,6.77,0.10
Kepler-039,1.3,599,12.92,1011.7,21.09,19.10
TRAPPIST-1c,1.3,116,10.30,399.1,2.42,0.00
K2-096c,1.2,35,7.07,660.5,29.84,0.03
K2-108,1.1,165,10.56,1735.1,4.73,0.19
GJ_9827c,1.1,32,7.19,921.8,3.65,0.00
Kepler-078,1.0,95,9.59,2678.3,0.35,0.01
Kepler-018d,1.0,255,11.76,949.3,14.86,0.05
K2-003b,1.0,49,8.56,611.2,10.05,0.02
Kepler-018c,1.0,242,11.76,1185.1,7.64,0.05
Kepler-693,0.9,710,14.18,764.2,15.38,0.90
Kepler-101b,0.9,265,12.01,1864.7,3.49,0.16
Kepler-004,0.9,152,10.80,1928.7,3.21,0.07
CoRoT-07,0.9,93,9.81,2093.7,0.85,0.02
K2-137,0.9,126,10.88,1748.4,0.18,0.00
Kepler-088b,0.9,193,11.45,1242.7,10.95,0.03
HD_106315b,0.9,37,7.85,1352.2,9.55,0.04
K2-138e,0.8,110,10.31,1023.8,8.26,-1.00
Kepler-009c,0.8,282,12.34,767.9,38.91,0.10
K2-019c,0.8,161,11.16,912.9,11.91,0.08
K2-138c,0.8,107,10.31,1355.4,3.56,-1.00
Kepler-068b,0.8,46,8.59,1491.3,5.40,0.02
Kepler-410,0.7,37,8.14,1214.2,17.83,0.00
WASP-047d,0.7,92,10.19,1162.3,9.03,0.04
Kepler-432,0.7,86,10.12,1057.5,50.50,5.41
CoRoT-09,0.7,180,11.69,497.4,95.27,0.84
K2-138d,0.7,93,10.31,1179.4,5.41,-1.00
LP_415-17c,0.7,57,9.50,604.7,13.85,-1.00
Kepler-056c,0.7,80,10.23,1404.7,21.40,0.57
LP_415-17b,0.6,53,9.50,784.6,6.34,-1.00
Kepler-010b,0.6,58,9.50,2602.8,0.84,0.01
K2-106b,0.6,85,10.34,2652.2,0.57,0.02
Kepler-021,0.6,18,6.95,2409.3,2.79,0.02
WASP-047c,0.6,78,10.19,2624.8,0.79,0.02
Kepler-025b,0.6,57,9.49,1578.4,6.24,0.03
K2-110,0.6,56,9.61,759.4,13.86,0.05
K2-098,0.6,107,10.87,1308.8,10.14,0.10
CoRoT-22,0.6,165,11.99,1197.0,9.76,0.00
Kepler-093b,0.6,31,8.37,1348.1,4.73,0.01
Kepler-117c,0.5,254,13.01,844.2,50.79,1.84
K2-095,0.5,150,12.47,494.0,10.13,-1.00
Kepler-419,0.5,139,11.86,799.8,69.73,2.60
Kepler-046b,0.5,258,13.35,645.0,33.60,0.89
Kepler-089c,0.5,87,10.93,1373.5,10.42,0.05
K2-032c,0.5,49,9.82,743.6,20.66,0.00
Kepler-030c,0.5,275,13.58,561.4,60.33,1.69
K2-138f,0.5,60,10.31,885.7,12.76,-1.00
Kepler-117b,0.4,210,13.01,1176.0,18.80,0.09
Kepler-065c,0.4,47,9.81,1622.2,5.86,-1.00
K2-038c,0.4,39,9.47,1115.4,10.56,0.03
CoRoT-24c,0.4,180,12.92,841.1,11.76,0.09
K2-032d,0.4,44,9.82,644.5,31.72,0.03
Kepler-056b,0.4,51,10.23,1780.7,10.50,0.07
CoRoT-24b,0.4,178,12.92,1112.6,5.11,0.00
Kepler-020c,0.4,70,10.87,1004.5,10.85,0.04
K2-138b,0.4,52,10.31,1555.9,2.35,-1.00
Kepler-089e,0.4,69,10.93,792.1,54.32,0.11
Kepler-539,0.4,67,10.91,461.2,125.63,0.97
K2-111,0.4,31,9.38,1462.7,5.35,0.03
K2-021b,0.4,28,9.42,664.4,9.32,-1.00
Kepler-289d,0.4,130,12.51,481.1,125.85,0.41
K2-026b,0.3,44,10.53,504.7,14.57,-1.00
Kepler-454,0.3,39,9.97,1090.4,10.57,0.02
K2-106c,0.3,46,10.34,938.8,13.34,0.02
Kepler-420,0.3,137,12.73,544.5,86.65,1.45
Kepler-037d,0.3,14,7.94,598.4,39.79,0.00
K2-021c,0.3,25,9.42,560.8,15.50,-1.00
TRAPPIST-1d,0.3,29,10.30,336.3,4.05,0.00
Kepler-080b,0.3,94,12.25,842.3,7.05,0.02
K2-038b,0.3,28,9.47,1539.6,4.02,0.04
Kepler-020b,0.3,50,10.87,1438.1,3.70,0.03
Kepler-050c,0.3,24,9.20,1521.6,9.38,0.00
Kepler-051b,0.3,150,13.20,645.8,45.16,0.01
Kepler-036c,0.3,47,10.79,1206.9,16.24,0.02
Kepler-087b,0.3,126,12.98,624.8,114.74,1.02
Kepler-080c,0.3,79,12.25,761.9,9.52,0.02
Kepler-079d,0.3,100,12.61,754.2,52.09,0.02
Kepler-051c,0.3,130,13.20,522.5,85.31,0.01
K2-066,0.3,39,10.60,1783.9,5.07,0.07
K2-018b,0.2,14,8.90,336.3,32.94,0.03
Kepler-444f,0.2,6,6.70,881.3,9.74,-1.00
K2-003c,0.2,12,8.56,453.3,24.65,0.01
TRAPPIST-1e,0.2,20,10.30,293.4,6.10,0.00
Kepler-296c,0.2,71,12.60,651.1,5.84,-1.00
Kepler-065b,0.2,23,9.81,2261.1,2.15,-1.00
Kepler-080f,0.2,65,12.25,1620.8,0.99,-1.00
Kepler-026b,0.2,71,12.63,549.4,12.28,0.02
Kepler-050b,0.2,17,9.20,1617.3,7.81,0.00
Kepler-018b,0.2,50,11.76,1537.2,3.50,0.02
Kepler-051d,0.2,95,13.20,453.9,130.18,0.02
Kepler-011e,0.2,58,12.18,756.7,32.00,0.03
Kepler-080d,0.2,54,12.25,1111.7,3.07,0.02
Kepler-444c,0.2,4,6.70,1164.4,4.55,-1.00
Kepler-186b,0.2,35,11.61,819.6,3.89,-1.00
Kepler-444d,0.2,4,6.70,1050.2,6.19,-1.00
Kepler-011c,0.2,52,12.18,1023.7,13.03,0.01
K2-056,0.2,14,9.37,649.0,41.69,0.05
LHS_1140,0.2,8,8.82,261.8,24.74,0.02
Kepler-010c,0.2,14,9.50,688.2,45.29,0.02
Kepler-016,0.2,10,9.00,244.9,221.78,0.33
Kepler-444e,0.2,4,6.70,975.1,7.74,-1.00
Kepler-079b,0.2,60,12.61,1181.3,13.48,0.03
Kepler-080e,0.2,46,12.25,967.6,4.64,0.01
Kepler-029b,0.1,92,13.66,1035.1,10.34,0.01
Kepler-186c,0.1,30,11.61,665.6,7.27,-1.00
Kepler-026c,0.1,48,12.63,490.4,17.25,0.02
TRAPPIST-1f,0.1,12,10.30,255.8,9.21,0.00
Kepler-444b,0.1,3,6.70,1258.5,3.60,-1.00
Kepler-089b,0.1,24,10.93,1932.1,3.74,0.03
KOI-415,0.1,51,12.66,483.8,166.79,62.14
Kepler-062b,0.1,31,11.66,961.0,5.71,0.00
Kepler-065d,0.1,14,9.81,1459.5,8.13,0.00
Kepler-011d,0.1,40,12.18,835.9,22.69,0.02
Kepler-009d,0.1,43,12.34,2232.3,1.59,-1.00
Kepler-069b,0.1,41,12.23,1017.1,13.72,-1.00
Kepler-062d,0.1,28,11.66,652.4,18.16,0.00
Kepler-079c,0.1,43,12.61,934.4,27.40,0.02
Kepler-029c,0.1,69,13.66,951.8,13.29,0.01
Kepler-186d,0.1,21,11.61,543.1,13.34,-1.00
Kepler-030d,0.1,57,13.58,421.5,142.64,0.07
Kepler-068c,0.1,6,8.59,1230.8,9.61,0.01
Kepler-090g,0.1,33,12.48,431.0,210.61,0.00
K2-003d,0.1,5,8.56,372.1,44.57,0.00
TRAPPIST-1g,0.1,8,10.30,231.8,12.36,0.00
Kepler-090h,0.1,32,12.48,361.3,331.60,0.00
Kepler-030b,0.1,52,13.58,715.0,29.22,0.03
Kepler-067,0.1,62,14.15,788.1,15.73,-1.00
Kepler-296b,0.1,26,12.60,528.8,10.86,-1.00
Kepler-037c,0.1,3,7.94,737.1,21.30,0.00
Kepler-011b,0.1,24,12.18,1104.9,10.30,0.01
Kepler-066,0.1,44,13.62,914.1,17.82,-1.00
Kepler-1649,0.1,21,12.59,411.5,8.69,-1.00
Kepler-296d,0.1,22,12.60,432.6,19.85,-1.00
Kepler-020d,0.1,11,10.87,522.6,77.61,0.03
Kepler-430b,0.1,23,12.39,868.2,35.97,-1.00
Kepler-064,0.1,22,12.39,599.3,138.32,0.00
EPIC_201702477,0.1,25,12.77,343.7,40.74,66.90
Kepler-035,0.1,40,13.88,419.7,131.46,0.13
Kepler-431d,0.1,8,10.65,1102.4,11.92,-1.00
Kepler-036b,0.1,8,10.79,1273.2,13.84,0.01
Kepler-020e,0.0,8,10.87,1224.2,6.10,0.00
Kepler-011f,0.0,15,12.18,666.6,46.69,0.01
Kepler-186e,0.0,10,11.61,457.7,22.41,-1.00
Kepler-453,0.0,12,11.92,325.5,204.50,0.00
Kepler-289b,0.0,16,12.51,749.7,34.55,0.02
Kepler-038,0.0,14,12.34,627.3,105.59,0.00
Kepler-079e,0.0,16,12.61,650.4,81.07,0.01
Kepler-090d,0.0,15,12.48,642.0,59.74,0.00
Kepler-090b,0.0,14,12.48,1335.0,7.01,0.00
Kepler-413,0.0,19,13.41,398.4,66.25,0.21
Kepler-289c,0.0,14,12.51,598.1,66.06,0.01
Kepler-087c,0.0,16,12.98,527.0,191.23,0.02
Kepler-011g,0.0,11,12.18,490.4,118.38,0.00
Kepler-431b,0.0,5,10.65,1329.1,6.80,-1.00
Kepler-101c,0.0,9,12.01,1552.3,6.03,0.00
Kepler-047b,0.0,18,13.54,583.8,49.51,0.00
Kepler-034,0.0,16,13.24,350.2,288.82,0.22
Kepler-020f,0.0,5,10.87,828.2,19.58,0.00
Kepler-090c,0.0,10,12.48,1217.3,8.72,0.00
Kepler-437b,0.0,7,11.85,401.1,66.65,-1.00
Kepler-090e,0.0,9,12.48,560.4,91.94,0.00
Kepler-431c,0.0,4,10.65,1217.4,8.70,-1.00
Kepler-090f,0.0,8,12.48,524.2,124.91,0.00
Kepler-440b,0.0,5,12.12,360.4,101.11,-1.00
Kepler-438b,0.0,3,11.20,380.5,35.23,-1.00
Kepler-037b,0.0,1,7.94,860.9,13.37,0.00
Kepler-296e,0.0,6,12.60,361.5,34.14,-1.00
Kepler-436b,0.0,8,13.33,382.5,64.00,-1.00
Kepler-1647,0.0,5,12.01,288.9,1107.59,1.52
TRAPPIST-1h,0.0,1,10.30,201.7,18.77,0.00
Kepler-022,0.0,2,10.15,340.1,289.86,0.02
Kepler-062c,0.0,3,11.66,741.4,12.44,0.00
Kepler-296f,0.0,3,12.60,294.3,63.34,-1.00
Kepler-062e,0.0,2,11.66,345.8,122.39,0.00
Kepler-047c,0.0,4,13.54,319.1,303.16,0.00
Kepler-430c,0.0,3,12.39,596.3,110.98,-1.00
Kepler-439b,0.0,3,12.92,386.3,178.14,-1.00
Kepler-421,0.0,1,11.54,239.9,704.20,-1.00
Kepler-069c,0.0,2,12.23,389.8,242.46,-1.00
Kepler-443b,0.0,3,13.81,323.5,177.67,-1.00
Kepler-167e,0.0,1,11.83,173.8,1071.23,-1.00
Kepler-442b,0.0,1,12.49,305.3,112.31,-1.00
Kepler-150f,0.0,1,13.36,277.5,637.21,-1.00
Kepler-186f,0.0,1,11.61,254.4,129.95,-1.00
Kepler-452,0.0,1,11.85,328.8,383.84,-1.00
Kepler-062f,0.0,0,11.66,266.7,267.29,0.00
Kepler-441b,0.0,0,12.29,230.8,207.25,-1.00
