Name,Kmag,AtmDepth,SNR,Period,Mass,logg,Eq Temp
-,-,ppm,-,days,M_jup,-,K
HD_189733,5.54,272.3,17.299,2.22,1.15,21.52,1417
HD_209458,6.31,387.9,17.282,3.52,0.71,9.29,1735
WASP-069,7.46,643.6,16.886,3.87,0.26,5.77,1142
WASP-107,8.64,1102.5,16.799,5.72,0.12,3.45,876
KELT-11,6.12,330.2,16.057,4.74,0.17,2.33,2026
WASP-127,8.64,1033.4,15.746,4.18,0.18,2.38,1705
GJ_1214,8.78,992.4,14.177,1.58,0.02,7.57,679
WASP-094,8.87,675.3,9.256,3.95,0.45,3.79,1920
GJ_0436,6.07,183.0,9.104,2.64,0.08,14.78,753
WASP-076,8.24,473.5,8.674,1.81,0.92,6.81,2595
HAT-P-47,9.40,748.8,8.040,4.73,0.21,2.96,1908
WASP-017,10.22,1031.5,7.592,3.73,0.48,3.17,2085
WASP-052,10.09,940.5,7.350,1.75,0.43,6.85,1564
WASP-039,10.20,960.3,7.134,4.05,0.28,4.26,1387
HAT-P-32,9.99,863.4,7.065,2.15,0.80,6.07,2143
WASP-080,8.35,390.2,6.796,3.07,0.56,14.33,981
WASP-033,7.47,256.6,6.701,1.22,2.16,18.99,3252
WASP-121,9.37,593.1,6.457,1.27,1.18,8.43,2804
WASP-101,9.07,510.2,6.378,3.59,0.50,6.23,1847
WASP-131,8.57,403.5,6.349,5.32,0.27,4.50,1713
HAT-P-12,10.11,779.9,6.038,3.21,0.20,5.90,1136
HD_219134b,3.26,32.0,5.813,3.09,0.01,18.09,1207
TRAPPIST-1b,10.30,817.3,5.798,1.51,0.00,7.93,467
WASP-034,8.79,402.0,5.717,4.32,0.59,9.83,1378
WASP-020,9.39,523.5,5.647,4.90,0.38,5.72,1501
HAT-P-01,8.86,409.3,5.636,4.46,0.53,7.48,1574
KELT-04,8.69,376.2,5.602,2.99,0.90,7.75,2169
WASP-168,10.44,839.4,5.583,4.15,0.42,4.63,1598
HAT-P-48,10.26,763.8,5.519,4.41,0.17,3.26,1618
GJ_3470,7.99,262.5,5.395,3.34,0.04,8.94,769
WASP-062,8.94,400.2,5.311,4.41,0.57,7.31,1697
KELT-08,9.18,435.1,5.171,3.24,0.87,6.21,1994
WASP-074,8.22,278.6,5.150,2.14,0.95,9.68,2287
TRAPPIST-1d,10.30,714.5,5.069,4.05,0.00,4.57,336
HAT-P-18,10.23,691.1,5.064,5.51,0.20,5.42,1000
55_Cnc_e,4.01,39.2,5.031,0.74,0.03,22.18,2363
WASP-049,9.75,549.5,5.022,2.78,0.40,6.84,1663
pi_Men,4.24,43.1,4.984,6.27,0.02,10.33,1388
Kepler-051b,13.20,2626.9,4.902,45.16,0.01,0.41,646
WASP-054,9.04,380.9,4.827,3.69,0.64,5.77,2186
WASP-021,9.98,585.4,4.812,4.32,0.28,5.07,1621
WASP-013,9.12,392.1,4.789,4.35,0.51,5.44,1884
KELT-07,7.54,187.6,4.743,2.73,1.28,13.50,2438
TrES-4,10.33,672.5,4.705,3.55,0.49,3.62,2138
HAT-P-26,9.58,470.4,4.649,4.24,0.06,4.58,1165
HAT-P-19,10.55,727.1,4.597,4.01,0.29,5.65,1200
WASP-031,10.65,746.5,4.507,3.41,0.48,4.94,1836
GJ_1132,8.32,253.5,4.475,1.63,0.01,12.69,696
HAT-P-30,9.15,367.8,4.431,2.81,0.71,9.81,1957
KELT-09,7.48,166.2,4.321,1.48,2.88,19.96,4817
Kepler-051c,13.20,2247.4,4.194,85.31,0.01,0.49,522
WASP-006,10.32,593.3,4.171,3.36,0.48,7.95,1408
WASP-166,8.03,204.2,4.121,5.44,0.10,6.37,1512
TRAPPIST-1c,10.30,578.8,4.106,2.42,0.00,9.35,399
HD_219134c,3.26,22.5,4.088,6.76,0.01,18.69,930
KELT-10,9.34,370.2,4.087,4.17,0.68,8.60,1637
WASP-029,8.78,282.8,4.041,3.92,0.24,10.04,1176
WASP-117,8.78,281.8,4.026,10.02,0.28,6.55,1218
WASP-139,10.47,612.0,4.015,5.92,0.12,4.53,1092
Qatar-6,9.23,337.5,3.919,3.51,0.67,14.68,1197
WASP-035,9.53,385.7,3.900,3.16,0.72,10.24,1750
WASP-079,9.06,305.7,3.839,3.66,0.86,9.11,2041
HAT-P-11,7.01,117.1,3.778,4.89,0.09,14.30,988
WASP-067,10.13,488.4,3.747,4.61,0.41,8.45,1243
HD_149026,6.82,106.2,3.742,2.88,0.37,13.80,2107
HATS-43,11.56,927.6,3.683,4.39,0.26,4.65,1185
HAT-P-41,9.73,398.7,3.677,2.69,0.80,6.98,2303
WASP-122,9.42,341.4,3.632,1.71,1.28,10.48,2333
WASP-063,9.39,334.8,3.611,4.38,0.38,4.61,1876
HD_202772,7.15,116.9,3.536,3.31,1.01,10.24,2576
LHS_1140c,8.82,245.5,3.442,3.78,0.01,10.80,521
WASP-011,9.42,320.2,3.407,3.72,0.49,12.44,1180
K2-135c,7.19,114.1,3.390,3.65,0.00,5.26,967
WASP-025,10.17,448.5,3.378,3.77,0.60,9.53,1440
HAT-P-17,8.54,208.9,3.333,10.34,0.53,12.98,927
WASP-160,11.06,666.6,3.333,3.77,0.28,5.83,1331
HAT-P-33,10.00,407.4,3.318,3.48,0.76,6.64,2117
WASP-085,8.73,225.6,3.298,2.66,1.26,20.39,1596
HATS-21,10.53,512.0,3.267,3.55,0.33,6.53,1526
K2-232,8.43,192.0,3.223,11.17,0.41,8.67,1189
WASP-015,9.69,341.4,3.208,3.75,0.59,7.40,2046
WASP-012,10.19,424.4,3.167,1.09,1.47,10.09,3046
WASP-110,10.70,534.3,3.153,3.78,0.51,8.25,1360
WASP-019,10.48,481.2,3.142,0.79,1.14,14.20,2471
HATS-06,11.22,674.2,3.131,3.33,0.32,7.94,858
K2-024c,9.18,263.5,3.131,42.34,0.05,2.68,699
WASP-077,8.40,183.5,3.122,1.36,1.76,29.80,2028
KELT-17,8.65,203.5,3.087,3.08,1.31,13.96,2481
WASP-007,8.40,180.8,3.076,4.96,0.98,12.87,1820
WASP-095,8.56,193.5,3.060,2.19,1.13,19.13,1923
WASP-172,10.13,384.1,2.947,5.48,0.47,4.73,2076
HAT-P-44,11.28,650.9,2.940,4.30,0.35,5.66,1314
NGTS-2,9.80,329.2,2.940,4.51,0.67,7.04,1948
HD_001397,5.99,56.4,2.914,11.54,0.42,9.92,1460
HAT-P-51,11.61,749.4,2.908,4.22,0.31,4.58,1416
WASP-189,6.06,57.8,2.888,2.72,2.13,27.97,3141
TRAPPIST-1f,10.30,401.1,2.845,9.21,0.00,8.26,256
K2-029,10.06,355.1,2.813,3.26,0.73,12.78,1388
HAT-P-65,11.53,697.0,2.806,2.60,0.53,3.66,2296
WASP-126,9.60,284.1,2.782,3.29,0.28,7.53,1769
TRAPPIST-1g,10.30,387.1,2.746,12.36,0.00,8.51,232
WASP-042,10.03,335.6,2.696,4.98,0.53,10.38,1215
WASP-055,10.40,396.3,2.685,4.47,0.63,8.72,1547
HD_002685,8.60,172.6,2.678,4.13,1.18,14.10,2050
WASP-153,11.05,532.5,2.675,3.33,0.39,4.02,2036
HD_219666,8.16,139.9,2.659,6.04,0.05,7.33,1275
HD_097658,5.73,45.6,2.655,9.49,0.02,14.67,902
TRAPPIST-1h,10.30,370.9,2.631,18.77,0.00,5.21,202
HAT-P-46,9.93,311.8,2.623,4.46,0.49,7.41,1726
XO-2,9.31,234.3,2.623,2.62,0.60,14.25,1606
XO-1,9.53,258.0,2.609,3.94,0.91,15.64,1432
TRAPPIST-1e,10.30,366.4,2.599,6.10,0.00,9.02,293
WASP-118,9.79,289.5,2.597,4.05,0.52,6.63,2085
HAT-P-13,8.97,198.0,2.591,2.92,0.91,10.16,2052
TrES-1,9.82,291.6,2.580,3.03,0.76,15.62,1364
WASP-082,8.76,175.7,2.533,2.71,1.25,10.55,2624
KELT-06,9.08,202.4,2.519,7.85,0.43,7.49,1561
K2-135d,7.19,84.7,2.517,6.20,0.01,9.67,810
WASP-083,10.39,369.6,2.516,4.97,0.30,6.87,1326
WASP-123,9.36,228.5,2.499,2.98,0.90,12.83,1807
WASP-140,9.17,209.1,2.496,2.24,2.44,29.17,1577
HATS-05,10.70,421.7,2.488,4.76,0.24,7.06,1219
WASP-084,8.86,179.3,2.469,8.52,0.69,17.88,953
WASP-145,9.19,208.3,2.464,1.77,0.89,27.23,1434
WASP-088,10.32,348.6,2.451,4.95,0.56,4.80,2097
WASP-016,9.59,249.0,2.450,3.12,0.83,13.90,1652
WASP-002,9.63,252.7,2.441,2.15,0.88,19.30,1530
WASP-041,9.68,258.3,2.438,3.05,0.98,17.45,1478
Kepler-051d,13.20,1300.9,2.427,130.18,0.02,0.79,454
HAT-P-40,10.01,297.9,2.415,4.46,0.61,5.09,2100
WASP-070,9.58,242.8,2.400,3.71,0.59,10.79,1635
Kepler-012,12.07,753.5,2.366,4.44,0.43,3.66,1767
WASP-113,10.31,329.7,2.328,4.54,0.47,5.93,1766
WASP-004,10.75,400.4,2.309,1.34,1.25,16.64,1991
HATS-71,11.73,625.4,2.297,3.80,0.45,9.56,726
WASP-090,10.25,315.1,2.288,3.92,0.63,5.88,2192
K2-237,10.22,309.7,2.280,2.18,1.23,12.38,2158
NGTS-1,11.94,681.1,2.271,2.65,0.81,11.38,941
WASP-001,10.28,314.7,2.253,2.52,0.85,9.62,2172
WASP-108,9.80,250.9,2.241,2.68,0.89,13.41,1903
WASP-109,10.20,301.2,2.238,3.32,0.91,10.83,2016
HAT-P-45,10.20,300.4,2.231,3.13,0.89,10.87,1961
HATS-56,10.25,306.6,2.226,4.33,0.60,5.24,2268
XO-6,9.25,192.7,2.217,3.77,1.90,10.99,1875
WASP-096,10.91,406.5,2.177,3.43,0.48,8.26,1518
WASP-078,11.01,422.4,2.161,2.17,0.86,5.02,2799
HATS-19,11.51,528.5,2.148,4.57,0.43,3.84,1843
KELT-18,9.21,182.9,2.144,2.87,1.18,11.87,2477
HAT-P-04,9.77,233.2,2.112,3.06,0.68,9.43,2072
WASP-137,9.46,202.1,2.110,3.91,0.68,10.47,1893
HAT-P-03,9.45,200.9,2.108,2.90,0.59,17.77,1393
WASP-103,10.77,368.8,2.107,0.93,1.47,13.45,2961
WASP-081,10.89,385.8,2.086,2.72,0.73,8.85,1935
WASP-132,9.67,217.7,2.064,7.13,0.41,13.43,905
HAT-P-06,9.31,184.2,2.061,3.85,1.06,13.54,2027
KELT-03,8.66,134.7,2.034,2.70,1.48,20.24,2161
WASP-151,11.19,426.0,2.006,4.53,0.36,6.33,1560
HATS-65,11.10,407.6,2.001,3.10,0.79,8.99,2047
HD_221416,6.04,39.4,1.987,14.28,0.20,7.11,1429
HATS-46,11.97,602.4,1.981,4.74,0.17,5.26,1256
HAT-P-39,11.16,412.8,1.971,3.54,0.60,6.02,2054
WASP-147,10.86,359.5,1.971,4.60,0.28,5.48,1633
EPIC_220501947,11.14,408.5,1.968,4.03,0.34,9.29,994
WASP-043,9.27,172.6,1.968,0.81,2.03,46.97,1714
HAT-P-25,10.81,349.4,1.960,3.65,0.57,10.95,1401
KELT-02,7.35,69.8,1.926,4.11,1.52,22.70,2037
HAT-P-27,10.11,247.9,1.920,3.04,0.66,15.18,1439
WASP-093,9.94,226.1,1.893,2.73,1.47,14.29,2311
TrES-2,9.85,216.6,1.891,2.47,1.21,21.00,1744
WASP-058,10.29,262.8,1.873,5.02,0.89,11.75,1519
WASP-156,9.34,169.6,1.873,3.84,0.13,12.20,1153
WASP-097,9.03,146.9,1.870,2.07,1.32,25.62,1842
KELT-15,9.85,214.1,1.868,3.33,1.20,12.83,1950
HAT-P-08,8.95,140.4,1.855,3.08,1.27,18.11,2061
K2-032b,9.82,208.5,1.845,8.99,0.05,6.13,981
WASP-124,11.31,414.1,1.845,3.37,0.60,9.67,1654
WASP-022,10.32,259.9,1.827,3.53,0.62,10.64,1787
K2-019b,11.16,380.6,1.817,7.92,0.09,5.03,1046
K2-234,7.72,76.6,1.782,11.81,0.11,7.41,1253
Kepler-447,10.81,316.0,1.773,7.79,1.37,12.47,1247
K2-030,11.09,353.3,1.742,4.10,0.62,10.81,1391
WASP-003,9.36,159.0,1.739,1.85,1.77,24.22,2372
TrES-3,10.61,278.9,1.715,1.31,1.90,27.43,1949
WASP-048,10.37,248.0,1.704,2.14,0.91,11.54,2327
WASP-075,10.06,214.8,1.702,2.48,1.08,15.60,2030
K2-135b,7.19,57.2,1.698,1.21,0.02,19.28,1397
HAT-P-24,10.54,266.5,1.692,3.35,0.68,10.92,1930
HAT-P-38,10.50,259.9,1.681,4.64,0.27,9.72,1284
EPIC_201498078,8.89,123.6,1.678,11.63,0.18,6.29,1268
HATS-29,10.88,307.3,1.669,4.61,0.65,10.34,1439
HATS-13,11.98,506.0,1.656,3.04,0.54,9.16,1481
Qatar-1,10.41,242.4,1.635,1.42,1.29,24.55,1652
WASP-050,9.97,197.2,1.628,1.96,1.44,27.50,1714
HAT-P-54,10.33,232.3,1.625,3.80,0.76,21.14,975
WASP-026,9.69,172.0,1.616,2.77,1.02,17.10,1963
K2-096b,7.07,51.2,1.607,0.96,0.02,16.95,2077
CoRoT-01,12.15,529.0,1.601,1.51,1.03,10.61,2279
WASP-092,11.52,394.8,1.597,2.17,0.81,9.35,2236
HATS-30,10.79,281.5,1.594,3.17,0.71,12.67,1682
HATS-26,11.44,371.2,1.558,3.30,0.65,5.26,2285
EPIC_249451861,9.19,131.6,1.556,14.89,0.32,10.88,976
HAT-P-28,11.10,314.7,1.545,3.26,0.63,10.56,1642
K2-031,8.87,112.4,1.541,1.26,1.86,40.94,2078
WASP-098,11.28,337.7,1.526,2.96,0.92,17.46,1393
Kepler-007,11.54,380.2,1.524,4.88,0.45,4.13,1927
HATS-39,11.52,375.2,1.518,4.58,0.63,6.34,1958
WASP-024,10.15,198.8,1.511,2.34,1.11,16.19,2108
WASP-060,10.59,241.3,1.498,4.30,0.56,9.25,1760
WASP-119,10.55,236.6,1.496,2.50,1.23,15.55,1863
HATS-33,10.29,208.2,1.484,2.55,1.19,19.53,1699
WASP-104,9.88,171.6,1.477,1.75,1.31,26.56,1792
K2-096c,7.07,46.3,1.453,29.84,0.03,10.55,660
HATS-51,10.87,265.5,1.449,3.35,0.77,9.57,1840
HAT-P-09,11.02,283.0,1.441,3.92,0.78,10.13,1832
WASP-023,10.45,217.6,1.440,2.94,0.92,19.96,1344
WASP-028,10.73,246.0,1.431,3.41,0.89,14.83,1727
WASP-190,10.65,236.5,1.428,5.37,1.00,9.68,1803
WASP-102,11.11,290.4,1.419,2.71,0.62,9.76,1962
HATS-23,12.26,491.6,1.414,2.16,1.47,10.53,1969
WASP-143,11.32,318.5,1.413,3.78,0.72,11.80,1538
HATS-34,12.10,455.3,1.410,2.11,0.94,11.41,1716
HATS-25,11.42,331.3,1.403,4.30,0.61,9.57,1518
WASP-056,10.53,219.2,1.399,4.17,0.57,11.87,1449
HAT-P-05,10.48,211.9,1.383,2.79,1.06,16.76,1804
HAT-P-55,11.63,355.2,1.366,3.58,0.58,10.33,1561
HATS-27,11.55,339.7,1.355,4.64,0.53,5.84,1970
HD_106315c,7.85,61.7,1.353,21.06,0.05,7.90,1039
HATS-53,12.05,426.0,1.350,3.85,0.59,8.21,1558
WASP-144,10.90,250.6,1.349,2.28,0.44,15.09,1437
WASP-068,8.95,101.9,1.346,5.08,0.95,15.31,1769
HAT-P-22,7.84,60.7,1.338,3.21,2.19,48.36,1538
HD_021749,5.38,19.1,1.305,35.61,0.07,28.27,507
WASP-142,11.44,310.5,1.303,2.05,0.84,8.89,2389
WASP-111,9.00,99.2,1.281,2.31,1.83,21.78,2523
HATS-08,12.66,526.5,1.260,3.58,0.14,4.49,1571
K2-024b,9.18,106.0,1.259,20.89,0.06,6.08,885
WASP-057,11.24,273.1,1.257,2.84,0.64,14.48,1593
HAT-P-43,11.76,345.6,1.252,3.33,0.66,10.00,1615
WASP-064,10.96,238.0,1.246,1.57,1.27,19.50,2012
EPIC_211945201,8.84,88.9,1.235,19.49,0.09,6.96,1055
Kepler-079d,12.61,503.5,1.233,52.09,0.02,1.15,754
HATS-07,10.98,236.5,1.227,3.19,0.12,9.38,1288
WASP-100,9.67,127.6,1.210,2.85,2.03,17.62,2618
HATS-35,11.12,247.9,1.205,1.82,1.22,14.13,2418
WASP-157,10.76,208.0,1.194,3.95,0.57,12.54,1551
HAT-P-36,10.60,192.7,1.191,1.33,1.85,27.00,2128
K2-141b,8.40,69.9,1.190,0.28,0.02,21.76,2572
CoRoT-05,12.55,472.6,1.190,4.04,0.46,7.21,1660
HATS-03,10.69,200.4,1.188,3.55,1.07,13.92,1960
MASCARA-1,7.74,51.3,1.184,2.15,3.70,40.76,3027
Kepler-425,12.81,529.4,1.182,3.80,0.25,6.48,1276
LHS_1140b,8.82,83.1,1.165,24.74,0.02,22.96,279
WASP-091,9.71,123.0,1.145,2.80,1.34,31.31,1360
Kepler-045,12.89,526.5,1.133,2.46,0.50,12.42,936
HATS-28,12.09,363.9,1.132,3.18,0.67,11.68,1489
CoRoT-02,10.31,159.3,1.125,1.74,3.57,41.51,1810
HAT-P-56,9.83,127.1,1.120,2.79,2.18,25.14,2188
HAT-P-07,9.33,100.7,1.116,2.21,1.87,19.90,2636
HATS-50,12.29,392.9,1.115,3.82,0.39,7.57,1616
HAT-P-49,9.35,100.7,1.106,2.69,1.73,21.48,2530
WASP-163,10.15,144.0,1.095,1.61,1.87,32.08,1948
Kepler-018d,11.76,297.0,1.076,14.86,0.05,3.30,949
Kepler-138d,9.51,105.3,1.075,23.09,0.00,4.08,477
WASP-135,11.04,210.6,1.063,1.40,1.90,27.87,2047
Kepler-426,13.21,571.0,1.061,3.22,0.34,7.09,1548
HATS-44,12.17,347.9,1.043,2.74,0.56,12.19,1403
WASP-087,9.60,103.7,1.016,1.68,2.18,28.17,2749
WTS-2,13.41,598.4,1.014,1.02,1.12,14.94,1826
HAT-P-66,11.68,268.8,1.010,2.97,0.78,7.68,2260
HATS-31,11.57,255.0,1.008,3.38,0.88,8.11,2170
XO-4,9.41,93.8,1.002,4.12,1.61,23.08,1953
WASP-008,8.09,50.3,0.988,8.16,2.25,51.76,1103
HATS-02,11.39,225.6,0.969,1.35,1.34,24.44,1873
WASP-159,11.02,189.6,0.965,3.84,0.55,7.16,2155
K2-139,9.66,101.1,0.963,28.38,0.39,14.69,672
Kepler-423,12.78,424.4,0.961,2.68,0.59,10.38,1641
K2-003c,8.56,60.8,0.960,24.65,0.01,6.65,453
HATS-60,10.99,183.2,0.946,3.56,0.65,11.30,1819
WASP-045,10.29,132.2,0.942,3.13,1.00,25.24,1392
HATS-67,12.33,337.3,0.940,1.61,1.48,12.76,2596
Kepler-008,12.29,323.9,0.919,3.52,0.59,7.67,1978
HATS-01,10.58,147.4,0.919,3.45,1.85,27.12,1628
K2-003b,8.56,57.9,0.916,10.05,0.02,12.15,611
KPS-1,10.93,171.8,0.912,1.71,1.09,25.47,1720
K2-018b,8.90,67.2,0.909,32.94,0.03,11.47,345
WASP-005,10.60,146.9,0.907,1.63,1.59,28.64,2085
K2-107,11.21,193.7,0.904,3.31,0.84,10.04,2106
HAT-P-29,10.30,127.3,0.903,5.72,0.77,16.79,1512
WASP-047b,10.19,118.6,0.885,4.16,1.14,22.45,1508
EPIC_246911830,11.09,178.5,0.880,2.63,1.42,14.61,2361
HATS-11,12.24,302.8,0.879,3.62,0.83,9.30,1944
WASP-112,11.90,258.3,0.877,3.04,0.88,15.38,1648
WASP-165,11.02,172.0,0.876,3.47,0.66,10.27,1878
WASP-065,10.35,125.9,0.873,2.31,1.55,31.07,1766
Qatar-2,10.62,142.4,0.872,1.34,2.47,49.17,1528
WASP-044,11.34,196.8,0.865,2.42,0.87,21.45,1552
Kepler-041,12.89,401.6,0.864,1.86,0.56,8.34,2127
Kepler-006,11.63,224.6,0.864,3.23,0.63,11.48,1726
WASP-059,9.72,93.1,0.862,7.92,0.86,35.61,791
HAT-P-35,11.03,169.8,0.861,3.65,1.05,14.72,1902
HATS-24,11.38,198.5,0.857,1.35,2.44,27.35,2469
HAT-P-37,11.67,226.1,0.854,2.80,1.17,20.88,1517
WASP-136,8.81,60.5,0.853,5.21,1.51,19.65,2072
Qatar-7,11.56,213.8,0.849,2.03,1.88,16.12,2441
Kepler-427,12.78,369.8,0.837,10.29,0.29,4.75,1281
HATS-20,11.86,240.3,0.831,3.80,0.27,11.24,1362
Kepler-078,9.59,83.2,0.819,0.35,0.01,12.77,2678
KELT-16,10.64,133.2,0.808,0.97,2.75,34.04,2917
XO-5,10.35,116.1,0.805,4.19,1.19,22.62,1442
HAT-P-23,10.79,142.2,0.805,1.21,2.07,34.25,2321
Kepler-422,12.04,251.1,0.800,7.89,0.43,8.06,1332
WASP-146,11.14,164.7,0.794,3.40,1.11,18.24,1828
Kepler-025c,9.49,76.9,0.792,12.72,0.08,8.86,1241
Kepler-016,9.00,61.3,0.792,221.78,0.33,14.53,245
HATS-45,12.14,260.3,0.791,4.19,0.70,10.49,1807
HATS-10,11.51,194.3,0.789,3.31,0.53,13.89,1673
Kepler-448,10.23,107.6,0.789,17.86,1.10,13.15,1285
WASP-046,11.40,183.7,0.785,1.43,1.91,34.35,1947
WASP-036,11.29,172.5,0.775,1.54,2.36,33.23,2062
Kepler-088b,11.45,183.7,0.768,10.95,0.03,5.98,1242
WASP-170,10.76,129.9,0.746,2.35,1.60,33.02,1694
WASP-072,9.62,76.8,0.745,2.22,1.46,22.45,2619
